LOAD_ZONE	TIMEPOINT	zone_demand_mw
lagunas	38407	500.918210011
lagunas	38408	490.813806389
lagunas	38409	508.466722369
lagunas	38410	531.086724847
lagunas	38411	532.260100237
lagunas	38412	532.630959817
lagunas	38413	537.127480225
lagunas	38414	524.576619312
lagunas	38415	525.242950621
lagunas	38416	519.832048561
lagunas	38417	523.636703066
lagunas	38418	524.04525657
lagunas	38419	576.189329368
lagunas	38420	591.966060656
lagunas	38421	598.821491177
lagunas	38422	564.737671929
lagunas	38423	536.01611742
lagunas	40104	511.394689146
lagunas	40105	492.938041422
lagunas	40106	481.041352488
lagunas	40107	474.407221782
lagunas	40108	467.551791262
lagunas	40109	464.969149469
lagunas	40110	494.33393256
lagunas	40111	527.454732834
lagunas	40112	521.018799215
lagunas	40113	528.220770654
lagunas	40114	527.590917336
lagunas	40115	541.056159901
lagunas	40116	544.922826991
lagunas	40117	547.961443676
lagunas	40118	547.899431091
lagunas	40119	548.245972009
lagunas	40120	555.781109103
lagunas	40121	544.724629904
lagunas	40122	538.659555865
lagunas	40123	573.162872014
lagunas	40124	588.148030888
lagunas	40125	577.560901845
lagunas	40126	547.343749688
lagunas	40127	534.532679102
lagunas	42024	541.822197721
lagunas	42025	527.787898489
lagunas	42026	506.453137242
lagunas	42027	499.387350305
lagunas	42028	489.652590328
lagunas	42029	481.362358812
lagunas	42030	515.088693744
lagunas	42031	544.058298595
lagunas	42032	532.779303648
lagunas	42033	563.638468454
lagunas	42034	572.027190547
lagunas	42035	584.8370452
lagunas	42036	592.16304181
lagunas	42037	590.570169518
lagunas	42038	589.247234363
lagunas	42039	594.954824086
lagunas	42040	592.694404552
lagunas	42041	580.946059449
lagunas	42042	572.903878274
lagunas	42043	576.399685785
lagunas	42044	548.900143989
lagunas	42045	501.042235182
lagunas	42046	514.729993495
lagunas	42047	552.668320502
lagunas	42576	528.245089315
lagunas	42577	503.846176789
lagunas	42578	490.603449971
lagunas	42579	487.984330188
lagunas	42580	488.169152011
lagunas	42581	489.590577743
lagunas	42582	516.422572297
lagunas	42583	523.464040573
lagunas	42584	529.257961543
lagunas	42585	550.432219628
lagunas	42586	559.043457469
lagunas	42587	571.81683413
lagunas	42588	566.528741308
lagunas	42589	550.815238538
lagunas	42590	536.732301985
lagunas	42591	548.628990919
lagunas	42592	550.173225889
lagunas	42593	541.092637892
lagunas	42594	512.419720705
lagunas	42595	533.457794289
lagunas	42596	607.679563426
lagunas	42597	609.520486059
lagunas	42598	586.060273846
lagunas	42599	572.731215782
lagunas	70800	608.608528457
lagunas	70801	609.684350206
lagunas	70802	582.231385892
lagunas	70803	573.850567244
lagunas	70804	582.217450377
lagunas	70805	580.560517658
lagunas	70806	585.389173564
lagunas	70807	517.698803586
lagunas	70808	500.17071297
lagunas	70809	535.565527214
lagunas	70810	570.720650601
lagunas	70811	582.599283485
lagunas	70812	583.71830533
lagunas	70813	603.512310666
lagunas	70814	639.063202676
lagunas	70815	640.62119324
lagunas	70816	622.130158545
lagunas	70817	631.19103032
lagunas	70818	620.176399359
lagunas	70819	616.395694172
lagunas	70820	657.299217448
lagunas	70821	693.006187225
lagunas	70822	683.888179839
lagunas	70823	623.601748917
lagunas	72504	678.975910844
lagunas	72505	660.158785101
lagunas	72506	630.172344183
lagunas	72507	622.215165186
lagunas	72508	623.743891168
lagunas	72509	616.806791861
lagunas	72510	610.520481099
lagunas	72511	603.299097288
lagunas	72512	581.750610629
lagunas	72513	612.035271566
lagunas	72514	637.463405568
lagunas	72515	653.745661154
lagunas	72516	641.795957144
lagunas	72517	633.45694504
lagunas	72518	632.29611665
lagunas	72519	614.214786093
lagunas	72520	627.934300493
lagunas	72521	621.932274234
lagunas	72522	624.012846606
lagunas	72523	643.74971633
lagunas	72524	685.092208325
lagunas	72525	701.558412707
lagunas	72526	676.243156376
lagunas	72527	650.645009093
lagunas	73440	634.801722226
lagunas	73441	615.418814579
lagunas	73442	590.712540248
lagunas	73443	584.044396378
lagunas	73444	569.334066871
lagunas	73445	559.012030999
lagunas	73446	577.785956646
lagunas	73447	574.090258099
lagunas	73448	562.509845234
lagunas	73449	582.741425737
lagunas	73450	608.665664068
lagunas	73451	610.010441254
lagunas	73452	610.435474458
lagunas	73453	615.588827861
lagunas	73454	601.204589401
lagunas	73455	601.968255617
lagunas	73456	595.766951495
lagunas	73457	600.127374101
lagunas	73458	600.595607401
lagunas	73459	660.356669413
lagunas	73460	678.437999969
lagunas	73461	686.294843259
lagunas	73462	647.232201499
lagunas	73463	614.315121801
lagunas	75144	586.09709772
lagunas	75145	564.944379684
lagunas	75146	551.309871925
lagunas	75147	543.706655007
lagunas	75148	535.849811717
lagunas	75149	532.889908357
lagunas	75150	566.544176792
lagunas	75151	604.503125774
lagunas	75152	597.127057748
lagunas	75153	605.381063211
lagunas	75154	604.65920354
lagunas	75155	620.091392718
lagunas	75156	624.52288645
lagunas	75157	628.005371619
lagunas	75158	627.934300493
lagunas	75159	628.331462667
lagunas	75160	636.967301238
lagunas	75161	624.295737558
lagunas	75162	617.344702735
lagunas	75163	656.888119759
lagunas	75164	674.062248297
lagunas	75165	661.928595491
lagunas	75166	627.297447463
lagunas	75167	612.614988985
lagunas	77064	620.969330156
lagunas	77065	604.884958881
lagunas	77066	580.433704473
lagunas	77067	572.335776776
lagunas	77068	561.179003563
lagunas	77069	551.677769518
lagunas	77070	590.330707141
lagunas	77071	623.532071342
lagunas	77072	610.60548774
lagunas	77073	645.972430953
lagunas	77074	655.586542669
lagunas	77075	670.267607595
lagunas	77076	678.66375531
lagunas	77077	676.838202861
lagunas	77078	675.322018842
lagunas	77079	681.863349527
lagunas	77080	679.272737311
lagunas	77081	665.808242834
lagunas	77082	656.591293292
lagunas	77083	660.59775382
lagunas	77084	629.081193367
lagunas	77085	574.232400351
lagunas	77086	589.919609452
lagunas	77087	633.399809429
lagunas	77616	605.408934241
lagunas	77617	577.445930083
lagunas	77618	562.268760827
lagunas	77619	559.267050922
lagunas	77620	559.478870748
