LOAD_ZONE	zone_dbid
lagunas	1
crucero_encuentro	2
mejillones	3
laberinto_zaldivar	4
diego_de_almagro	5
cardones	6
maitencillo	7
pan_de_azucar	8
los_vilos	9
nogales	10
quillota	11
polpaico	12
alto_jahuel	13
melipilla_rapel	14
itahue	15
ancoa	16
hualpen	17
charrua	18
temuco	19
puerto_montt	20
