LOAD_ZONE	dbid	existing_local_dg_urban	max_local_dg_urban	existing_local_dg_rural	max_local_dg_rural	urban_fraction	rural_fraction	zone_reference_urban_demand	zone_reference_rural_demand	zone_reference_demand
lagunas	1	0.0	2020.46	0.0	106.34	0.95	0.05	505.115	26.585	531.7
crucero_encuentro	2	0.0	3195.976	0.0	65.224	0.98	0.02	798.994	16.306	815.3
mejillones	3	0.0	1740.48	0.0	35.52	0.98	0.02	435.12	8.88	444
laberinto_zaldivar	4	0.0	2722.048	0.0	55.552	0.98	0.02	680.512	13.888	694.4
diego_de_almagro	5	0.0	566.72	0.0	49.28	0.92	0.08	141.68	12.32	154
cardones	6	0.0	1003.536	0.0	87.264	0.92	0.08	250.884	21.816	272.7
maitencillo	7	0.0	1338.048	0.0	116.352	0.92	0.08	334.512	29.088	363.6
pan_de_azucar	8	0.0	883.548	0.0	207.252	0.81	0.19	220.887	51.813	272.7
los_vilos	9	0.0	172.044	0.0	40.356	0.81	0.19	43.011	10.089	53.1
nogales	10	0.0	1061.376	0.0	44.224	0.96	0.04	265.344	11.056	276.4
quillota	11	0.0	2476.416	0.0	103.184	0.96	0.04	619.104	25.796	644.9
polpaico	12	0.0	2126.592	0.0	88.608	0.96	0.04	531.648	22.152	553.8
alto_jahuel	13	0.0	9271.68	0.0	386.32	0.96	0.04	2317.92	96.58	2414.5
melipilla_rapel	14	0.0	706.076	0.0	302.604	0.7	0.3	176.519	75.651	252.17
itahue	15	0.0	1118.32	0.0	479.28	0.7	0.3	279.58	119.82	399.4
ancoa	16	0.0	1491	0.0	639	0.7	0.3	372.75	159.75	532.5
hualpen	17	0.0	2217.936	0.0	486.864	0.82	0.18	554.484	121.716	676.2
charrua	18	0.0	1457.96	0.0	320.04	0.82	0.18	364.49	80.01	444.5
temuco	19	0.0	340.533	0.0	160.25088	0.68	0.32	85.13	40.06	125.196
puerto_montt	20	0.0	1711.64	0.0	733.56	0.7	0.3	427.91	183.39	611.3
