LOAD_ZONE	PERIOD	fixed_rural	fixed_urban
alto_jahuel	2018	11.2	268.8
alto_jahuel	2022	11.2	268.8
alto_jahuel	2026	11.2	268.8
alto_jahuel	2030	11.2	268.8
alto_jahuel	2034	11.2	268.8
ancoa	2018	18.5	43.2
ancoa	2022	18.5	43.2
ancoa	2026	18.5	43.2
ancoa	2030	18.5	43.2
ancoa	2034	18.5	43.2
cardones	2018	2.5	29.1
cardones	2022	2.5	29.1
cardones	2026	2.5	29.1
cardones	2030	2.5	29.1
cardones	2034	2.5	29.1
charrua	2018	9.2	42.2
charrua	2022	9.2	42.2
charrua	2026	9.2	42.2
charrua	2030	9.2	42.2
charrua	2034	9.2	42.2
crucero_encuentro	2018	1.8	92.6
crucero_encuentro	2022	1.8	92.6
crucero_encuentro	2026	1.8	92.6
crucero_encuentro	2030	1.8	92.6
crucero_encuentro	2034	1.8	92.6
diego_de_almagro	2018	1.4	16.4
diego_de_almagro	2022	1.4	16.4
diego_de_almagro	2026	1.4	16.4
diego_de_almagro	2030	1.4	16.4
diego_de_almagro	2034	1.4	16.4
hualpen	2018	14.1	64.3
hualpen	2022	14.1	64.3
hualpen	2026	14.1	64.3
hualpen	2030	14.1	64.3
hualpen	2034	14.1	64.3
itahue	2018	13.8	32.4
itahue	2022	13.8	32.4
itahue	2026	13.8	32.4
itahue	2030	13.8	32.4
itahue	2034	13.8	32.4
laberinto_zaldivar	2018	1.6	78.9
laberinto_zaldivar	2022	1.6	78.9
laberinto_zaldivar	2026	1.6	78.9
laberinto_zaldivar	2030	1.6	78.9
laberinto_zaldivar	2034	1.6	78.9
lagunas	2018	3.0	58.5
lagunas	2022	3.0	58.5
lagunas	2026	3.0	58.5
lagunas	2030	3.0	58.5
lagunas	2034	3.0	58.5
los_vilos	2018	1.1	4.9
los_vilos	2022	1.1	4.9
los_vilos	2026	1.1	4.9
los_vilos	2030	1.1	4.9
los_vilos	2034	1.1	4.9
maitencillo	2018	3.3	38.8
maitencillo	2022	3.3	38.8
maitencillo	2026	3.3	38.8
maitencillo	2030	3.3	38.8
maitencillo	2034	3.3	38.8
mejillones	2018	1.0	50.4
mejillones	2022	1.0	50.4
mejillones	2026	1.0	50.4
mejillones	2030	1.0	50.4
mejillones	2034	1.0	50.4
melipilla_rapel	2018	8.7	20.4
melipilla_rapel	2022	8.7	20.4
melipilla_rapel	2026	8.7	20.4
melipilla_rapel	2030	8.7	20.4
melipilla_rapel	2034	8.7	20.4
nogales	2018	1.2	30.7
nogales	2022	1.2	30.7
nogales	2026	1.2	30.7
nogales	2030	1.2	30.7
nogales	2034	1.2	30.7
pan_de_azucar	2018	6.0	25.6
pan_de_azucar	2022	6.0	25.6
pan_de_azucar	2026	6.0	25.6
pan_de_azucar	2030	6.0	25.6
pan_de_azucar	2034	6.0	25.6
polpaico	2018	2.5	61.6
polpaico	2022	2.5	61.6
polpaico	2026	2.5	61.6
polpaico	2030	2.5	61.6
polpaico	2034	2.5	61.6
puerto_montt	2018	21.2	49.6
puerto_montt	2022	21.2	49.6
puerto_montt	2026	21.2	49.6
puerto_montt	2030	21.2	49.6
puerto_montt	2034	21.2	49.6
quillota	2018	2.9	71.8
quillota	2022	2.9	71.8
quillota	2026	2.9	71.8
quillota	2030	2.9	71.8
quillota	2034	2.9	71.8
temuco	2018	4.6	9.8
temuco	2022	4.6	9.8
temuco	2026	4.6	9.8
temuco	2030	4.6	9.8
temuco	2034	4.6	9.8
