GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
PV_laberinto_zaldivar	2018	1134870.0	17023.05
PV_laberinto_zaldivar	2022	996120.0	14941.8
PV_laberinto_zaldivar	2026	879960.0	13199.4
PV_laberinto_zaldivar	2030	783000.0	11745.0
PV_laberinto_zaldivar	2034	705240.0	10578.6
Wind_laberinto_zaldivar	2018	1775610.0	35512.2
Wind_laberinto_zaldivar	2022	1717290.0	34345.8
Wind_laberinto_zaldivar	2026	1670490.0	33409.8
Wind_laberinto_zaldivar	2030	1635210.0	32704.2
Wind_laberinto_zaldivar	2034	1611450.0	32229.0
PV_diego_de_almagro	2018	1134870.0	17023.05
PV_diego_de_almagro	2022	996120.0	14941.8
PV_diego_de_almagro	2026	879960.0	13199.4
PV_diego_de_almagro	2030	783000.0	11745.0
PV_diego_de_almagro	2034	705240.0	10578.6
Wind_diego_de_almagro	2018	1775610.0	35512.2
Wind_diego_de_almagro	2022	1717290.0	34345.8
Wind_diego_de_almagro	2026	1670490.0	33409.8
Wind_diego_de_almagro	2030	1635210.0	32704.2
Wind_diego_de_almagro	2034	1611450.0	32229.0
PV_cardones	2018	1134870.0	17023.05
PV_cardones	2022	996120.0	14941.8
PV_cardones	2026	879960.0	13199.4
PV_cardones	2030	783000.0	11745.0
PV_cardones	2034	705240.0	10578.6
RoR_maitencillo	2018	4100000.0	66000.0
RoR_maitencillo	2022	4100000.0	66000.0
RoR_maitencillo	2026	4100000.0	66000.0
RoR_maitencillo	2030	4100000.0	66000.0
RoR_maitencillo	2034	4100000.0	66000.0
PV_maitencillo	2018	1134870.0	17023.05
PV_maitencillo	2022	996120.0	14941.8
PV_maitencillo	2026	879960.0	13199.4
PV_maitencillo	2030	783000.0	11745.0
PV_maitencillo	2034	705240.0	10578.6
Wind_maitencillo	2018	1775610.0	35512.2
Wind_maitencillo	2022	1717290.0	34345.8
Wind_maitencillo	2026	1670490.0	33409.8
Wind_maitencillo	2030	1635210.0	32704.2
Wind_maitencillo	2034	1611450.0	32229.0
RoR_pan_de_azucar	2018	4100000.0	66000.0
RoR_pan_de_azucar	2022	4100000.0	66000.0
RoR_pan_de_azucar	2026	4100000.0	66000.0
RoR_pan_de_azucar	2030	4100000.0	66000.0
RoR_pan_de_azucar	2034	4100000.0	66000.0
PV_pan_de_Azucar	2018	1134870.0	17023.05
PV_pan_de_Azucar	2022	996120.0	14941.8
PV_pan_de_Azucar	2026	879960.0	13199.4
PV_pan_de_Azucar	2030	783000.0	11745.0
PV_pan_de_Azucar	2034	705240.0	10578.6
Wind_pan_de_azucar	2018	1775610.0	35512.2
Wind_pan_de_azucar	2022	1717290.0	34345.8
Wind_pan_de_azucar	2026	1670490.0	33409.8
Wind_pan_de_azucar	2030	1635210.0	32704.2
Wind_pan_de_azucar	2034	1611450.0	32229.0
PV_los_vilos	2018	1134870.0	17023.05
PV_los_vilos	2022	996120.0	14941.8
PV_los_vilos	2026	879960.0	13199.4
PV_los_vilos	2030	783000.0	11745.0
PV_los_vilos	2034	705240.0	10578.6
PV_nogales	2018	1134870.0	17023.05
PV_nogales	2022	996120.0	14941.8
PV_nogales	2026	879960.0	13199.4
PV_nogales	2030	783000.0	11745.0
PV_nogales	2034	705240.0	10578.6
PV_quillota	2018	1134870.0	17023.05
PV_quillota	2022	996120.0	14941.8
PV_quillota	2026	879960.0	13199.4
PV_quillota	2030	783000.0	11745.0
PV_quillota	2034	705240.0	10578.6
RoR_polpaico	2018	4100000.0	66000.0
RoR_polpaico	2022	4100000.0	66000.0
RoR_polpaico	2026	4100000.0	66000.0
RoR_polpaico	2030	4100000.0	66000.0
RoR_polpaico	2034	4100000.0	66000.0
PV_polpaico	2018	1134870.0	17023.05
PV_polpaico	2022	996120.0	14941.8
PV_polpaico	2026	879960.0	13199.4
PV_polpaico	2030	783000.0	11745.0
PV_polpaico	2034	705240.0	10578.6
RoR_alto_jahuel	2018	4100000.0	66000.0
RoR_alto_jahuel	2022	4100000.0	66000.0
RoR_alto_jahuel	2026	4100000.0	66000.0
RoR_alto_jahuel	2030	4100000.0	66000.0
RoR_alto_jahuel	2034	4100000.0	66000.0
PV_melipilla_rapel	2018	1134870.0	17023.05
PV_melipilla_rapel	2022	996120.0	14941.8
PV_melipilla_rapel	2026	879960.0	13199.4
PV_melipilla_rapel	2030	783000.0	11745.0
PV_melipilla_rapel	2034	705240.0	10578.6
Wind_melipilla_rapel	2018	1775610.0	35512.2
Wind_melipilla_rapel	2022	1717290.0	34345.8
Wind_melipilla_rapel	2026	1670490.0	33409.8
Wind_melipilla_rapel	2030	1635210.0	32704.2
Wind_melipilla_rapel	2034	1611450.0	32229.0
RoR_itahue	2018	4100000.0	66000.0
RoR_itahue	2022	4100000.0	66000.0
RoR_itahue	2026	4100000.0	66000.0
